iter	Passed	Remaining
0	526	262541
1	916	228267
2	1304	216053
3	1682	208606
4	2047	202714
5	2403	197856
6	2782	195935
7	3132	192645
8	3503	191126
9	3857	188999
10	4212	187273
11	4570	185860
12	4920	184327
13	5270	182950
14	5627	181960
15	5992	181275
16	6374	181102
17	6731	180262
18	7103	179824
19	7459	179030
20	7821	178411
21	8180	177735
22	8541	177146
23	8904	176609
24	9267	176086
25	9626	175494
26	9999	175176
27	10379	174974
28	10766	174865
29	11123	174273
30	11481	173710
31	11841	173182
32	12200	172650
33	12554	172072
34	12911	171537
35	13271	171054
36	13629	170557
37	13989	170087
38	14334	169441
39	14692	168965
40	15071	168728
41	15437	168341
42	15795	167872
43	16160	167480
44	16520	167042
45	16883	166635
46	17253	166292
47	17619	165919
48	18042	166068
49	18410	165698
50	18814	165637
51	19192	165354
52	19551	164898
53	19902	164381
54	20293	164190
55	20654	163758
56	21026	163418
57	21407	163141
58	21778	162784
59	22136	162334
60	22500	161927
61	22863	161519
62	23226	161112
63	23582	160657
64	23947	160261
65	24305	159824
66	24694	159594
67	25063	159227
68	25430	158846
69	25783	158381
70	26150	158010
71	26502	157541
72	26860	157114
73	27224	156725
74	27575	156262
75	27926	155802
76	28276	155335
77	28620	154842
78	28989	154489
79	29353	154108
80	29707	153673
81	30059	153228
82	30425	152860
83	30779	152432
84	31140	152039
85	31499	151636
86	31868	151282
87	32227	150881
88	32590	150501
89	32939	150058
90	33291	149627
91	33642	149195
92	33987	148739
93	34334	148296
94	34679	147845
95	35036	147446
96	35386	147016
97	35729	146564
98	36080	146143
99	36440	145763
100	36797	145369
101	37155	144979
102	37517	144607
103	37881	144242
104	38243	143870
105	38591	143443
106	38944	143037
107	39305	142665
108	39676	142326
109	40043	141971
110	40407	141609
111	40767	141231
112	41130	140862
113	41492	140491
114	41845	140089
115	42201	139700
116	42568	139349
117	42917	138936
118	43278	138565
119	43637	138186
120	43998	137814
121	44351	137418
122	44715	137054
123	45082	136701
124	45461	136383
125	45821	136011
126	46191	135665
127	46567	135336
128	46938	134994
129	47289	134592
130	47644	134205
131	48005	133833
132	48370	133474
133	48729	133095
134	49089	132724
135	49445	132340
136	49802	131959
137	50157	131571
138	50512	131186
139	50875	130822
140	51245	130475
141	51658	130237
142	52065	129982
143	52488	129763
144	52910	129538
145	53267	129155
146	53635	128798
147	53997	128427
148	54350	128033
149	54708	127653
150	55053	127243
151	55427	126900
152	55796	126544
153	56162	126183
154	56512	125785
155	56877	125423
156	57223	125017
157	57593	124663
158	57940	124262
159	58295	123877
160	58671	123537
161	59037	123177
162	59393	122794
163	59748	122410
164	60121	122065
165	60468	121665
166	60817	121271
167	61171	120886
168	61518	120488
169	61877	120115
170	62219	119709
171	62584	119346
172	62934	118956
173	63288	118575
174	63667	118239
175	64013	117842
176	64364	117456
177	64716	117071
178	65079	116707
179	65440	116338
180	65810	115986
181	66166	115609
182	66525	115237
183	66875	114850
184	67246	114500
185	67599	114120
186	67955	113743
187	68319	113381
188	68691	113032
189	69061	112678
190	69407	112287
191	69763	111912
192	70120	111539
193	70472	111158
194	70820	110771
195	71171	110388
196	71539	110032
197	71902	109669
198	72245	109275
199	72601	108901
200	72966	108542
201	73321	108167
202	73667	107779
203	74018	107399
204	74372	107023
205	74716	106634
206	75068	106256
207	75432	105895
208	75783	105516
209	76131	105134
210	76492	104769
211	76837	104383
212	77201	104022
213	77551	103643
214	77905	103270
215	78258	102895
216	78612	102522
217	78973	102158
218	79318	101774
219	79676	101406
220	80025	101027
221	80374	100649
222	80729	100278
223	81077	99899
224	81428	99523
225	81800	99173
226	82151	98798
227	82500	98421
228	82855	98051
229	83206	97677
230	83557	97302
231	83914	96935
232	84271	96568
233	84614	96186
234	84960	95805
235	85303	95423
236	85641	95036
237	85984	94655
238	86347	94295
239	86692	93917
240	87042	93544
241	87406	93185
242	87759	92815
